BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
BOF.AR.14.1903-1904,System of fire control and direction,Chief of Artillery.,,"A fire-control system is designed to help weapon systems track/ hit moving targets with greater accuracy. It first emerged in naval warfare, where longer-range guns and faster ships made aiming much more complex than pointing and firing. By the early 1900s, innovations like gyroscopes, telescopic sights, and plotting boards helped crews predict where a target would be and coordinate their fire more effectively","https://en.wikipedia.org/wiki/Fire-control_system#:~:text=There%20the%20fire%20direction%20teams,years%20to%20become%20widely%20deployed.","In 1903, Brigadier General Wallace Randolph served as the Chief of Artillery. That same year marked a major reorganization of the U.S. Army, which split the artillery branch into two components: field artillery and coast artillery.",https://en.wikipedia.org/wiki/Field_Artillery_Branch_(United_States),No,,Sheet1,System of fire control and direction,nan,nan,Chief of Artillery.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Intrenching tool,Col. J. B. Babcock.,,"The intrenching tool is a compact digging implement used by soldiers for field fortification, originally designed to let infantry quickly dig trenches. First modernized by a Danish officer in 1869 and evolved into various military-issue tools, including folding and multi-purpose versions still used today.

",https://en.wikipedia.org/wiki/Entrenching_tool,"U.S. Army officer and Medal of Honor recipient John B. Babcock, known for his service during the Civil War and Indian Wars",https://en.wikipedia.org/wiki/John_B._Babcock,No,,Sheet1,Intrenching tool,nan,nan,Col. J. B. Babcock.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Fuses,J. C. Thompson.,,"In 1903–1904, artillery units used manually cut combustible time fuzes (often made of wood or paper) for airburst shells. Their accuracy was limited by inconsistent burn rates and flight conditions.",https://en.wikipedia.org/wiki/Artillery_fuze,Thompson was a U.S. Navy medical officer. He participated in intelligence-gathering missions in East Asia.,https://en.wikipedia.org/wiki/Joseph_Cheesman_Thompson,No,,Sheet1,Fuses,nan,nan,J. C. Thompson.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Elevating scale,Capt. H. C. Davis.,,,,,,No,,Sheet1,Elevating scale,nan,nan,Capt. H. C. Davis.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Magazine indicator for small arms ,G. H. Powell. ,,U.S. military field‑tested the Powell Device. It was a cartridge‐count indicator attached to the Luger pistol’s grip. It shows how many rounds remain by attaching a visible pointer to the magazine follower.,https://www.historicalfirearms.info/post/95135586074/powell-device-luger-in-1903-the-us-army-was,George H. Powell was a U.S. Ordnance Board lieutenant who designed the Powell Device.,https://www.historicalfirearms.info/post/95135586074/powell-device-luger-in-1903-the-us-army-was,No,,Sheet1,Magazine indicator for small arms,nan,nan,G. H. Powell.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Test of automatic 1-pounder guns,Board of Ordnance and Fortification.,,"I believe this to be the British QF 1-pounder ""pom-pom,"" a 37mm automatic cannon which is based on the Maxim gun. It fired 1-pound explosive shells rapidly and was used first by infantry, then as a light anti-aircraft gun.
","https://en.wikipedia.org/wiki/QF_1-pounder_pom-pom#:~:text=The%20QF%201%20pounder%2C%20universally,(%22pom%2Dpom%22)",,,No,,Sheet1,Test of automatic 1-pounder guns,nan,nan,Board of Ordnance and Fortification.,Investigating,[],Other/Unclassified,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,"Recoil spade, test of",Willard S. Isham.,,"The recoil spade was a mechanical solution used on early artillery to anchor the carriage and absorb recoil, preventing the gun from rolling backward after firing. It was a modification of existing systems, commonly used before hydro-pneumatic recoil mechanisms became widespread.","https://en.wikipedia.org/wiki/Gun_carriage#:~:text=Recoil%20spade%20or%20ground%20spade,C%20mle%201897%20Schneider%2DCanet.",,,No,,Sheet1,"Recoil spade, test of",nan,nan,Willard S. Isham.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Machine-gun carriage,Capt. J. H. Parker,,"I presume this is in reference to the metallic carriage for the Gatling Gun, Models of 1903. It was a purpose-built, wheeled mount designed to provide mobility, stability, and field adaptability for the rapid-fire weapon. The carriage and limber allowed the gun to be quickly moved across varied terrain and positioned for combat use.",https://babel.hathitrust.org/cgi/pt?id=uc1.$b74088&seq=10,"Lt. John Henry Parker and his team created the portable machine-gun carriage for the Colt Model 1895 Gatling. This allowed for rapid, mobile fire support during the Spanish–American War. Parker designed the carriages and organized his own detachment. His innovative use of machine guns marked the first time the U.S. Army employed them offensively to support infantry in battle.",https://en.wikipedia.org/wiki/John_Henry_Parker_(general),Yes,"This innovation represents a turning point in the U.S. military, marking the first integration of automatic weapons in offensive operations. His innovations prefigured modern combined arms tactics. A deeper dive would shed light not only on early machine-gun technology but also on the individuals who reshaped military thinking ahead of their time.








",Sheet1,Machine-gun carriage,nan,"This innovation represents a turning point in the U.S. military, marking the first integration of automatic weapons in offensive operations. His innovations prefigured modern combined arms tactics. A deeper dive would shed light not only on early machine-gun technology but also on the individuals who reshaped military thinking ahead of their time.",Capt. J. H. Parker,Investigating,['Artillery'],Artillery,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Program for test of 10-inch wire-wound gun,Brown Wire Gun Co. ,,"The 10-inch wire-wound gun was a U.S. Navy artillery piece reinforced with layers of steel wire to handle high-pressure smokeless powder without excessive weight. Developed at Watervliet Arsenal, it aimed to improve structural integrity before advanced steel barrels were feasible. 
","https://www.usni.org/magazines/proceedings/1893/october/professional-notes#:~:text=%22The%20Board%20of%20Ordnance%20and,band%20forward%20to%20the%20muzzle.",Maine gun registration company. This was likely the company's gun and that is why the following line calls it the Brown gun.,https://www.google.com/url?sa=i&url=https%3A%2F%2Fscripophily.net%2Fbrown-wire-gun-company-maine-1903%2F&psig=AOvVaw2Z-Wzeb18JxLoJr1old-QY&ust=1753745922621000&source=images&cd=vfe&opi=89978449&ved=0CAMQjB1qFwoTCMiW8-qa3o4DFQAAAAAdAAAAABAU,No,,Sheet1,Program for test of 10-inch wire-wound gun,nan,nan,Brown Wire Gun Co.,Investigating,['Artillery'],Artillery,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Test of Brown 10-inch wire-wound gun,Board of Ordnance and Fortification.,,"The 10-inch wire-wound gun was a U.S. Navy artillery piece reinforced with layers of steel wire to handle high-pressure smokeless powder without excessive weight. Developed at Watervliet Arsenal, it aimed to improve structural integrity before advanced steel barrels were feasible. ","https://www.usni.org/magazines/proceedings/1893/october/professional-notes#:~:text=%22The%20Board%20of%20Ordnance%20and,band%20forward%20to%20the%20muzzle.",,,No,,Sheet1,Test of Brown 10-inch wire-wound gun,nan,nan,Board of Ordnance and Fortification.,Investigating,['Artillery'],Artillery,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
